# [VF6]3-,MS=0,1.9896,singletNOCI
E,Eshifted,DoS,Comment
# A, Adash, Addash - (a)1T2g - M_S = 0
-1539.2803723,-280.3723,3,a1T2gA
-1539.2791715,-279.1715,3,a1T2gAdash
-1539.2751980,-275.1980,3,1T2gAddash
# A, B, D - 1Eg - M_S = 0
-1539.2770923,-277.0923,2,1EgA
-1539.2735656,-273.5656,2,1EgB
-1539.2742054,-274.2054,2,1EgD
# C - 1T2g - M_S = 0
-1539.2189019,-218.9019,3,1T2gC
# E - 1T1g - M_S = 0
-1539.2034665,-203.4665,3,1T1gE
# B, D - 1A1g - M_S = 0
-1539.2165102,-216.5102,1,1A1gB
-1539.1836669,-183.6669,1,1A1gD
